axis,group,item_id,source,growth_relevance,stem,correct_answer
growth_topic,Growth measurement & interpretation,afrimedqa_v2::11275,afrimedqa/afrimedqa_v2,growth_relevant,A small for gestational age baby is defined as;,B
growth_topic,Growth measurement & interpretation,afrimedqa_v2::14647,afrimedqa/afrimedqa_v2,growth_relevant,Which of the following growth parameters is normal in a 24-month old child?,A
growth_topic,Idiopathic short stature,medbullets::117,JesseLiu/medbulltes5op,growth_relevant,"A 16-year-old boy presents to his primary care physician for a routine follow-up visit. He feels disappointed because his voice has not changed. He is concerned that he is not as tall as his classmates. He denies any headache, vision change…",C
growth_topic,Idiopathic short stature,medmcqa::51505,openlifescienceai/medmcqa,growth_relevant,"A 16-year-old girl has not yet reached menarche. She has normal secondary sex characteristics, and vi¬sual inspection of her external genitalia is unremark¬able. The patient is given progesterone and has with¬drawal bleeding a few days late…",D
growth_topic,Obesity,afrimedqa_v2::11000,afrimedqa/afrimedqa_v2,growth_relevant,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional se…",D
growth_topic,Obesity,afrimedqa_v2::11001,afrimedqa/afrimedqa_v2,growth_relevant,A 14-year-old male is being assessed for weight loss surgery. Which of the following is an indication for surgical management?,B
growth_topic,Primary short stature,afrimedqa_v2::14741,afrimedqa/afrimedqa_v2,growth_relevant,"A baby delivered at 39 weeks of gestation weighs 1.55 kg, which plots on the 5 th centile of the weigh for gestational age chart. Which of the following clinical problems is the infant unlikely to encounter?",C
growth_topic,Primary short stature,afrimedqa_v2::5601,afrimedqa/afrimedqa_v2,growth_relevant,"A 5-year-old African child presents with developmental delay, microcephaly, and facial dysmorphism. Genetic testing reveals a deletion on chromosome 5 p. Which of the following conditions is most likely associated with this chromosomal abno…",B
growth_topic,Puberty & skeletal maturation,medexpqa_en::325,HiTZ/MedExpQA,growth_relevant,An 8-year-old boy consults for the appearance of pubic hair at the base of the penis for the last 12 months. The testicle has not increased in volume and the penis has not increased in size. There is no increase in growth rate in the last y…,C
growth_topic,Puberty & skeletal maturation,medexpqa_en::43,HiTZ/MedExpQA,growth_relevant,"A woman comes to the office with her 3 year old daughter because she has detected a slight mammary development since 3 months without taking any medication or any relevant history. Indeed, the physical examination shows a Tanner stage IV, w…",A
growth_topic,Secondary growth failure,afrimedqa_v2::12839,afrimedqa/afrimedqa_v2,growth_relevant,"10) A 4-year-old boy, is noted to have intermittent watery diarrhea, nausea, belching, and abdominal pain. His weight is less than the fifth percentile for his age. Which of the following studies would be most helpful in making the diagnosi…",E
growth_topic,Secondary growth failure,afrimedqa_v2::14757,afrimedqa/afrimedqa_v2,growth_relevant,A 20-month old presents with passage of loose stools. His weight-for-length Z-Score plots on-3.5 SD. Which of the following features should be aggressively requested at presentation?,E
growth_topic,Tall stature / overgrowth,medbullets::60,JesseLiu/medbulltes5op,growth_relevant,"A 3-year-old boy presents with his parents to a pediatrician for a new patient visit. The child was recently adopted and little is known about his medical or family history. The child seems to be doing well, but the patient is much larger t…",D
growth_topic,Tall stature / overgrowth,medmcqa::161021,openlifescienceai/medmcqa,growth_relevant,"A child presented with tall stature, long spider leg like fingers, chest deformity and some vision problems. His eye examination shows lens dislocation in the superolateral direction. What is your diagnosis?",A
usmle_competency,Communication - Providing Information,medmcqa::150911,openlifescienceai/medmcqa,growth_relevant,"A full-term baby, exclusively breast fed, at the end of 1 week was passing golden yellow stools and was found to have adequate hydration with the normal systemic examination. The weight of the baby was just the same as it was at birth. The …",D
usmle_competency,Communication - Providing Information,pediatricsmqa_tqa::239,adlbh/PediatricsMQA,growth_relevant,"A female, age 11, shows Tanner stage II breast growth on the right and Tanner stage I on the left. What is the best next step?",A
usmle_competency,Medical Knowledge/Scientific Concepts,afrimedqa_v2::11000,afrimedqa/afrimedqa_v2,growth_relevant,"You are counseling the family of a 15-year-old female with a BMI of 38 and type II diabetes on the surgical options for weight loss. Of the following bariatric procedures, which is most likely to produce adverse malabsorptive nutritional se…",D
usmle_competency,Medical Knowledge/Scientific Concepts,afrimedqa_v2::11275,afrimedqa/afrimedqa_v2,growth_relevant,A small for gestational age baby is defined as;,B
usmle_competency,Patient Care,afrimedqa_v2::11001,afrimedqa/afrimedqa_v2,growth_relevant,A 14-year-old male is being assessed for weight loss surgery. Which of the following is an indication for surgical management?,B
usmle_competency,Patient Care,afrimedqa_v2::11002,afrimedqa/afrimedqa_v2,growth_relevant,A 15-year-old female presents to a specialised adolescent unit for assessment for weight-loss surgery. Her BMI for age falls on the 90 th centile. By definition how would you classify this patient?,C
usmle_competency,Practice-based Learning - Biostatistics and Epidemiology,medmcqa::110170,openlifescienceai/medmcqa,growth_relevant,"In the birth weight of each of the 10 babies born in a hospital in a day is found to be 2.8 kgs, then the standard deviation of this sample will be -",B
usmle_competency,Practice-based Learning - Biostatistics and Epidemiology,medmcqa::12317,openlifescienceai/medmcqa,growth_relevant,Birth weight of all 10 babies born in a nursing home on a day was 2.7 kg. Standard deviation is -,A
usmle_competency,Systems-based Practice,medmcqa::89344,openlifescienceai/medmcqa,growth_relevant,Quality indicators of RCH programme – a) Number of high risk women referredb) Number of children immunizedc) Number of women died.d) Number of new born with birth weight recorded.e) Number of neonatal deaths,A
